pic_id,response,n,i,j,data_id,sample_size,test_param,param_value,p_value,obs_plot_location,pic_name,experiment,difficulty,data_name,target
3,9,0,1,3,1,3,turk16-shape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/da6cd1abdc6284388efcbe1e41751651.svg,turk16,113,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
3,10,0,1,3,1,3,turk16-shape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/da6cd1abdc6284388efcbe1e41751651.svg,turk16,113,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
3,11,11,1,3,1,3,turk16-shape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/da6cd1abdc6284388efcbe1e41751651.svg,turk16,113,set-1-k-3-sdline-0.25-sdgroup-0.25,TRUE
3,12,1,1,3,1,3,turk16-shape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/da6cd1abdc6284388efcbe1e41751651.svg,turk16,113,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
3,13,0,1,3,1,3,turk16-shape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/da6cd1abdc6284388efcbe1e41751651.svg,turk16,113,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
3,14,2,1,3,1,3,turk16-shape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/da6cd1abdc6284388efcbe1e41751651.svg,turk16,113,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
3,15,0,1,3,1,3,turk16-shape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/da6cd1abdc6284388efcbe1e41751651.svg,turk16,113,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
3,16,0,1,3,1,3,turk16-shape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/da6cd1abdc6284388efcbe1e41751651.svg,turk16,113,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
3,17,0,1,3,1,3,turk16-shape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/da6cd1abdc6284388efcbe1e41751651.svg,turk16,113,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
3,18,0,1,3,1,3,turk16-shape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/da6cd1abdc6284388efcbe1e41751651.svg,turk16,113,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
3,19,0,1,3,1,3,turk16-shape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/da6cd1abdc6284388efcbe1e41751651.svg,turk16,113,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
3,20,7,1,3,1,3,turk16-shape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/da6cd1abdc6284388efcbe1e41751651.svg,turk16,113,set-1-k-3-sdline-0.25-sdgroup-0.25,TRUE
4,1,0,1,4,1,3,turk16-colorShape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/bc408cfd5d4c914a0ce19e1a8ea866cd.svg,turk16,114,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
4,2,0,1,4,1,3,turk16-colorShape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/bc408cfd5d4c914a0ce19e1a8ea866cd.svg,turk16,114,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
4,3,0,1,4,1,3,turk16-colorShape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/bc408cfd5d4c914a0ce19e1a8ea866cd.svg,turk16,114,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
4,4,0,1,4,1,3,turk16-colorShape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/bc408cfd5d4c914a0ce19e1a8ea866cd.svg,turk16,114,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
4,5,0,1,4,1,3,turk16-colorShape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/bc408cfd5d4c914a0ce19e1a8ea866cd.svg,turk16,114,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
4,6,0,1,4,1,3,turk16-colorShape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/bc408cfd5d4c914a0ce19e1a8ea866cd.svg,turk16,114,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
4,7,0,1,4,1,3,turk16-colorShape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/bc408cfd5d4c914a0ce19e1a8ea866cd.svg,turk16,114,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
4,8,0,1,4,1,3,turk16-colorShape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/bc408cfd5d4c914a0ce19e1a8ea866cd.svg,turk16,114,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
4,9,1,1,4,1,3,turk16-colorShape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/bc408cfd5d4c914a0ce19e1a8ea866cd.svg,turk16,114,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
4,10,0,1,4,1,3,turk16-colorShape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/bc408cfd5d4c914a0ce19e1a8ea866cd.svg,turk16,114,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
4,11,8.5,1,4,1,3,turk16-colorShape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/bc408cfd5d4c914a0ce19e1a8ea866cd.svg,turk16,114,set-1-k-3-sdline-0.25-sdgroup-0.25,TRUE
4,12,0,1,4,1,3,turk16-colorShape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/bc408cfd5d4c914a0ce19e1a8ea866cd.svg,turk16,114,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
4,13,0,1,4,1,3,turk16-colorShape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/bc408cfd5d4c914a0ce19e1a8ea866cd.svg,turk16,114,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
4,14,0,1,4,1,3,turk16-colorShape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/bc408cfd5d4c914a0ce19e1a8ea866cd.svg,turk16,114,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
4,15,0,1,4,1,3,turk16-colorShape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/bc408cfd5d4c914a0ce19e1a8ea866cd.svg,turk16,114,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
4,16,2,1,4,1,3,turk16-colorShape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/bc408cfd5d4c914a0ce19e1a8ea866cd.svg,turk16,114,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
4,17,0,1,4,1,3,turk16-colorShape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/bc408cfd5d4c914a0ce19e1a8ea866cd.svg,turk16,114,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
4,18,0,1,4,1,3,turk16-colorShape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/bc408cfd5d4c914a0ce19e1a8ea866cd.svg,turk16,114,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
4,19,0.5,1,4,1,3,turk16-colorShape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/bc408cfd5d4c914a0ce19e1a8ea866cd.svg,turk16,114,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
4,20,14,1,4,1,3,turk16-colorShape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/bc408cfd5d4c914a0ce19e1a8ea866cd.svg,turk16,114,set-1-k-3-sdline-0.25-sdgroup-0.25,TRUE
5,1,0,1,5,1,3,turk16-colorEllipse,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/5f9885168e3a02f57ab7216e9f76141d.svg,turk16,115,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
5,2,0,1,5,1,3,turk16-colorEllipse,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/5f9885168e3a02f57ab7216e9f76141d.svg,turk16,115,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
5,3,0,1,5,1,3,turk16-colorEllipse,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/5f9885168e3a02f57ab7216e9f76141d.svg,turk16,115,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
5,4,0,1,5,1,3,turk16-colorEllipse,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/5f9885168e3a02f57ab7216e9f76141d.svg,turk16,115,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
5,5,0,1,5,1,3,turk16-colorEllipse,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/5f9885168e3a02f57ab7216e9f76141d.svg,turk16,115,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
5,6,0,1,5,1,3,turk16-colorEllipse,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/5f9885168e3a02f57ab7216e9f76141d.svg,turk16,115,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
5,7,0,1,5,1,3,turk16-colorEllipse,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/5f9885168e3a02f57ab7216e9f76141d.svg,turk16,115,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
5,8,0,1,5,1,3,turk16-colorEllipse,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/5f9885168e3a02f57ab7216e9f76141d.svg,turk16,115,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
5,9,0,1,5,1,3,turk16-colorEllipse,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/5f9885168e3a02f57ab7216e9f76141d.svg,turk16,115,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
