study,test_param,pic_id,pic_name,obs_plot_location,response_no,n
turk4,euc,260,euc_line2_1_0_13.png,13,16,0
turk4,euc,260,euc_line2_1_0_13.png,13,17,0
turk4,euc,260,euc_line2_1_0_13.png,13,18,0
turk4,euc,260,euc_line2_1_0_13.png,13,19,0
turk4,euc,260,euc_line2_1_0_13.png,13,20,0
turk4,euc,261,euc_line2_1_180_2.png,2,1,0
turk4,euc,261,euc_line2_1_180_2.png,2,2,2
turk4,euc,261,euc_line2_1_180_2.png,2,3,0
turk4,euc,261,euc_line2_1_180_2.png,2,4,0
turk4,euc,261,euc_line2_1_180_2.png,2,5,0
turk4,euc,261,euc_line2_1_180_2.png,2,6,1
turk4,euc,261,euc_line2_1_180_2.png,2,7,0
turk4,euc,261,euc_line2_1_180_2.png,2,8,0
turk4,euc,261,euc_line2_1_180_2.png,2,9,0
turk4,euc,261,euc_line2_1_180_2.png,2,10,3
turk4,euc,261,euc_line2_1_180_2.png,2,11,0
turk4,euc,261,euc_line2_1_180_2.png,2,12,0
turk4,euc,261,euc_line2_1_180_2.png,2,13,0
turk4,euc,261,euc_line2_1_180_2.png,2,14,1
turk4,euc,261,euc_line2_1_180_2.png,2,15,0
turk4,euc,261,euc_line2_1_180_2.png,2,16,0
turk4,euc,261,euc_line2_1_180_2.png,2,17,0
turk4,euc,261,euc_line2_1_180_2.png,2,18,0
turk4,euc,261,euc_line2_1_180_2.png,2,19,0
turk4,euc,261,euc_line2_1_180_2.png,2,20,0
turk4,euc,262,euc_line2_1_270_13.png,13,1,0
turk4,euc,262,euc_line2_1_270_13.png,13,2,0
turk4,euc,262,euc_line2_1_270_13.png,13,3,0
turk4,euc,262,euc_line2_1_270_13.png,13,4,0
turk4,euc,262,euc_line2_1_270_13.png,13,5,1
turk4,euc,262,euc_line2_1_270_13.png,13,6,1
turk4,euc,262,euc_line2_1_270_13.png,13,7,0
turk4,euc,262,euc_line2_1_270_13.png,13,8,0
turk4,euc,262,euc_line2_1_270_13.png,13,9,0
turk4,euc,262,euc_line2_1_270_13.png,13,10,1
turk4,euc,262,euc_line2_1_270_13.png,13,11,0
turk4,euc,262,euc_line2_1_270_13.png,13,12,0
turk4,euc,262,euc_line2_1_270_13.png,13,13,3
turk4,euc,262,euc_line2_1_270_13.png,13,14,0
turk4,euc,262,euc_line2_1_270_13.png,13,15,1
turk4,euc,262,euc_line2_1_270_13.png,13,16,0
turk4,euc,262,euc_line2_1_270_13.png,13,17,1
turk4,euc,262,euc_line2_1_270_13.png,13,18,0
turk4,euc,262,euc_line2_1_270_13.png,13,19,1
turk4,euc,262,euc_line2_1_270_13.png,13,20,0
turk4,euc,263,euc_line2_1_90_10.png,10,1,0
turk4,euc,263,euc_line2_1_90_10.png,10,2,0
turk4,euc,263,euc_line2_1_90_10.png,10,3,0
turk4,euc,263,euc_line2_1_90_10.png,10,4,0
turk4,euc,263,euc_line2_1_90_10.png,10,5,0
turk4,euc,263,euc_line2_1_90_10.png,10,6,0
turk4,euc,263,euc_line2_1_90_10.png,10,7,1
turk4,euc,263,euc_line2_1_90_10.png,10,8,0
turk4,euc,263,euc_line2_1_90_10.png,10,9,1
turk4,euc,263,euc_line2_1_90_10.png,10,10,0
turk4,euc,263,euc_line2_1_90_10.png,10,11,2
turk4,euc,263,euc_line2_1_90_10.png,10,12,0
turk4,euc,263,euc_line2_1_90_10.png,10,13,0
turk4,euc,263,euc_line2_1_90_10.png,10,14,0
turk4,euc,263,euc_line2_1_90_10.png,10,15,0
turk4,euc,263,euc_line2_1_90_10.png,10,16,0
turk4,euc,263,euc_line2_1_90_10.png,10,17,1
turk4,euc,263,euc_line2_1_90_10.png,10,18,0
turk4,euc,263,euc_line2_1_90_10.png,10,19,0
turk4,euc,263,euc_line2_1_90_10.png,10,20,1
turk4,euc,264,euc_line2_2_0_7.png,7,1,0
