"pic_id","sample_size","test_param","param_value","p_value","obs_plot_location","pic_name","experiment","difficulty","data_name"
298,"20","turk10-Control-Inner-Multiple-rep1","20-2",NA,"9","images/filebab616cc5904-multiple.svg","turk10",25,"data-2-1-1-20-2-9-18.csv"
299,"20","turk10-Control-Outer-Multiple-rep1","20-2",NA,"18","images/filebab641e8214d-multiple.svg","turk10",25,"data-2-1-1-20-2-9-18.csv"
300,"20","turk10-Control-Outer-Single-rep1","20-2",NA,"18","images/filebab641e8214d-single.svg","turk10",25,"data-2-1-1-20-2-9-18.csv"
301,"30","turk10-Standard-Inner-Multiple-rep1","30-10",NA,"12","images/filebab633fba21e-multiple.svg","turk10",26,"data-2-1-10-30-10-12-10.csv"
302,"30","turk10-Standard-Inner-Single-rep1","30-10",NA,"12","images/filebab633fba21e-single.svg","turk10",26,"data-2-1-10-30-10-12-10.csv"
303,"30","turk10-Standard-Outer-Multiple-rep1","30-10",NA,"10","images/filebab64d507a3b-multiple.svg","turk10",26,"data-2-1-10-30-10-12-10.csv"
304,"30","turk10-Standard-Outer-Single-rep1","30-10",NA,"10","images/filebab64d507a3b-single.svg","turk10",26,"data-2-1-10-30-10-12-10.csv"
305,"30","turk10-Rotated-Inner-Multiple-rep1","30-10",NA,"12","images/filebab66ee26808-multiple.svg","turk10",26,"data-2-1-10-30-10-12-10.csv"
306,"30","turk10-Rotated-Inner-Single-rep1","30-10",NA,"12","images/filebab66ee26808-single.svg","turk10",26,"data-2-1-10-30-10-12-10.csv"
307,"30","turk10-Rotated-Outer-Single-rep1","30-10",NA,"10","images/filebab6521c1e17-single.svg","turk10",26,"data-2-1-10-30-10-12-10.csv"
308,"30","turk10-Rotated-Outer-Multiple-rep1","30-10",NA,"10","images/filebab6521c1e17-multiple.svg","turk10",26,"data-2-1-10-30-10-12-10.csv"
309,"30","turk10-Control-Inner-Single-rep1","30-10",NA,"12","images/filebab65e88df24-single.svg","turk10",26,"data-2-1-10-30-10-12-10.csv"
310,"30","turk10-Control-Inner-Multiple-rep1","30-10",NA,"12","images/filebab65e88df24-multiple.svg","turk10",26,"data-2-1-10-30-10-12-10.csv"
311,"30","turk10-Control-Outer-Multiple-rep1","30-10",NA,"10","images/filebab66bf1e4f8-multiple.svg","turk10",26,"data-2-1-10-30-10-12-10.csv"
312,"30","turk10-Control-Outer-Single-rep1","30-10",NA,"10","images/filebab66bf1e4f8-single.svg","turk10",26,"data-2-1-10-30-10-12-10.csv"
313,"50","turk10-Standard-Inner-Multiple-rep1","50-10",NA,"9","images/filebab64ba078c-multiple.svg","turk10",27,"data-2-1-11-50-10-9-3.csv"
314,"50","turk10-Standard-Inner-Single-rep1","50-10",NA,"9","images/filebab64ba078c-single.svg","turk10",27,"data-2-1-11-50-10-9-3.csv"
315,"50","turk10-Standard-Outer-Multiple-rep1","50-10",NA,"3","images/filebab651457ac0-multiple.svg","turk10",27,"data-2-1-11-50-10-9-3.csv"
316,"50","turk10-Standard-Outer-Single-rep1","50-10",NA,"3","images/filebab651457ac0-single.svg","turk10",27,"data-2-1-11-50-10-9-3.csv"
317,"50","turk10-Rotated-Inner-Multiple-rep1","50-10",NA,"9","images/filebab655ef8d25-multiple.svg","turk10",27,"data-2-1-11-50-10-9-3.csv"
318,"50","turk10-Rotated-Inner-Single-rep1","50-10",NA,"9","images/filebab655ef8d25-single.svg","turk10",27,"data-2-1-11-50-10-9-3.csv"
319,"50","turk10-Rotated-Outer-Single-rep1","50-10",NA,"3","images/filebab6621ba436-single.svg","turk10",27,"data-2-1-11-50-10-9-3.csv"
320,"50","turk10-Rotated-Outer-Multiple-rep1","50-10",NA,"3","images/filebab6621ba436-multiple.svg","turk10",27,"data-2-1-11-50-10-9-3.csv"
321,"50","turk10-Control-Inner-Single-rep1","50-10",NA,"9","images/filebab6287dfcef-single.svg","turk10",27,"data-2-1-11-50-10-9-3.csv"
322,"50","turk10-Control-Inner-Multiple-rep1","50-10",NA,"9","images/filebab6287dfcef-multiple.svg","turk10",27,"data-2-1-11-50-10-9-3.csv"
323,"50","turk10-Control-Outer-Multiple-rep1","50-10",NA,"3","images/filebab66768c3ad-multiple.svg","turk10",27,"data-2-1-11-50-10-9-3.csv"
